year,winner,value
2015,Lewis Hamilton,10
2015,Nico Rosberg,6
2015,Sebestian Vettel,3
2015,Daniel Ricciardo,1
2016,Lewis Hamilton,20
2016,Max Verstappen,1
2016,Nico Rosberg,15
2016,Sebestian Vettel,3
2016,Daniel Ricciardo,1
2017,Lewis Hamilton,29
2017,Sebestian Vettel,8
2017,Max Verstappen,3
2017,Valtteri Bottas,3
2017,Daniel Ricciardo,2
2018,Lewis Hamilton,40
2018,Sebestian Vettel,13
2018,Max Verstappen,5
2018,Daniel Ricciardo,4
2018,Valtteri Bottas,3
2019,Lewis Hamilton,51
2019,Sebestian Vettel,14
2019,Max Verstappen,8
2019,Valtteri Bottas,7
2019,Daniel Ricciardo,4
2020,Lewis Hamilton,62
2020,Sebestian Vettel,14
2020,Max Verstappen,10
2020,Valtteri Bottas,9
2020,Daniel Ricciardo,4
